Domain,,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Number,Domain,Datastructure,Looked at?,Algorithm Description,Algorithm Name,Year,Paper/Reference Link,Original paper?,Comments/Distinguishing Features,Wikipedia article namespace (if it exists and isn't in an earlier row),Authors,Constants,Constants Reference,Space,Space Class,Space Reference,Space Units,Model of Computation,Parameters,Prefered Parameter,Build (Time),Build Runtime Class,"Build Notes (constants, amortized?, randomized?, etc.)",Build Time Reference,Insert (Time),Insert Runtime Class,"Insert Notes (constants, amortized?, randomized?, etc.)",Insert Time Reference,Delete (Time),Delete Runtime Class,"Delete Notes (constants, amortized?, randomized?, etc.)",Delete Time Reference,Find (Time),Find Runtime Class,"Find Notes (constants, amortized?, randomized?, etc.)",Find Reference,Successor/Predecessor (Time),Successor/Predecessor Runtime Class,"Successor/Predecessor Notes (constants, amortized?, randomized?, etc.)",Successor/Predecessor Time Reference,Union (Time),Union Runtime Class,"Union Notes (constants, amortized?, randomized?, etc.)",Union Reference,Min/Max (Time),Min/Max Runtime Class,"Min/Max Notes (constants, amortized?, randomized?, etc.)",Max Reference,Increase-Key/Update (Time),Increase-Key/Update Runtime Class,"Increase-Key/Update Notes (constants, amortized?, randomized?, etc.)",Increase-Key/Update Reference,Push (Time),Push Runtime Class,"Push Notes (constants, amortized?, randomized?, etc.)",Push Reference,Pop Most Recent (Time),Pop Most Recent Runtime Class,"Pop Most Recent Notes (constants, amortized?, randomized?, etc.)",Pop Most Recent Reference,Pop Oldest (Time),Pop Oldest Runtime Class,"Pop Oldest Notes (constants, amortized?, randomized?, etc.)",Pop Oldest Reference,Nearest Neighbor (Time),Nearest Neighbor Runtime Class,"Nearest Neighbor Notes (constants, amortized?, randomized?, etc.)",Nearest Neighbor Reference,Range Search (Time),Range Search Runtime Class,"Range Search Notes (constants, amortized?, randomized?, etc.)",Range Search Reference,Query (Time),Query Runtime Class,"Query Notes (constants, amortized?, randomized?, etc.)",Query Reference,Improvement,Tradeoff
Priority Queue,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,112,,Priority Queue,Randomized Meldable Heap,1.0,Heap (assume this is a max heap),,1998,https://link.springer.com/content/pdf/10.1007/3-540-49477-4_26.pdf,yes,,Randomized_meldable_heap,"Gambin, Malinowski",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"With high probability. Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(lg n),3.0,With high probability,https://link.springer.com/content/pdf/10.1007/3-540-49477-4_26.pdf,O(lg n),3.0,With high probability. Arbitrary item (though needs increase-key for non-max element),https://link.springer.com/content/pdf/10.1007/3-540-49477-4_26.pdf,,,,,,,,,O(lg n),3.0,With high probability,https://link.springer.com/content/pdf/10.1007/3-540-49477-4_26.pdf,O(1),1.0,only max,https://link.springer.com/content/pdf/10.1007/3-540-49477-4_26.pdf,O(lg n),3.0,With high probability,https://link.springer.com/content/pdf/10.1007/3-540-49477-4_26.pdf,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,98,,Priority Queue,Thin Heap,1.0,Heap (assume this is a max heap),,1999,https://www.cs.princeton.edu/research/techreps/TR-597-99,yes,more structure and less fields per node than Fibonacci heaps,,"Kaplan, Tarjan",,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,amortized,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(lg n),3.0,non-amortized (see section 4),https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,,,,,,,,,O(1),1.0,,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(1),1.0,only max,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(1),1.0,amortized,https://www.cs.princeton.edu/research/techreps/TR-597-99,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,99,,Priority Queue,Fat Heap,1.0,Heap (assume this is a max heap),,1999,https://www.cs.princeton.edu/research/techreps/TR-597-99,yes,author notes its simplicity with respect to run-relaxed heaps,,"Kaplan, Tarjan",,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(lg n),3.0,,https://www.cs.princeton.edu/research/techreps/TR-597-99,,,,,,,,,O(lg n),3.0,,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(lg n),3.0,only max,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(1),1.0,,https://www.cs.princeton.edu/research/techreps/TR-597-99,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,119,,Priority Queue,2-3 Heap,1.0,Heap (assume this is a max heap),,1999,https://www.sciencedirect.com/science/article/pii/S0166218X02002196,yes,,2–3_heap,Takaoka,,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n)?,6.0,,,O(1),1.0,amortized,https://www.sciencedirect.com/science/article/pii/S0166218X02002196,O(lg n),3.0,amortized and for max only,https://www.sciencedirect.com/science/article/pii/S0166218X02002196,,,,,,,,,O(n)?,6.0,based on insert runtime,,O(lg n)?,3.0,,,O(1),1.0,amortized,https://www.sciencedirect.com/science/article/pii/S0166218X02002196,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,101,,Priority Queue,Trinomial Heap,1.0,Heap (assume this is a max heap),,2000,https://dl.acm.org/doi/abs/10.5555/646718.702069,yes,author claims simpler than relaxed heaps,,Takaoka,,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(1),1.0,amortized,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(lg n),3.0,,https://dl.acm.org/doi/abs/10.5555/646718.702069,,,,,,,,,O(lg n)??,3.0,,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(1),1.0,only max,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(1),1.0,,https://dl.acm.org/doi/abs/10.5555/646718.702069,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,113,,Priority Queue,Soft Heap,1.0,Heap (assume this is a max heap),,2000,https://www.cs.princeton.edu/~chazelle/pubs/sheap.pdf,yes,fast but randomly corrupts data,Soft_heap,Chazelle,,,O(n),6.0,,words,Word RAM,"n: number of elements
eps: error rate",n,O(n lg(1/eps)),6.0,"derivable from ""insert"" runtime",https://www.cs.princeton.edu/~chazelle/pubs/sheap.pdf,O(lg(1/eps)),1.0,amortized,https://www.cs.princeton.edu/~chazelle/pubs/sheap.pdf,O(1),1.0,amortized,https://www.cs.princeton.edu/~chazelle/pubs/sheap.pdf,,,,,,,,,O(1),1.0,amortized,https://www.cs.princeton.edu/~chazelle/pubs/sheap.pdf,O(1),1.0,"only max, amortized",https://www.cs.princeton.edu/~chazelle/pubs/sheap.pdf,O(lg(1/eps)),1.0,amortized; see delete + insert,https://www.cs.princeton.edu/~chazelle/pubs/sheap.pdf,,,,,,,,,,,,,,,,,,,,,,,,,1,0
Priority Queue,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,114,,Priority Queue,Shadow Heap,1.0,Heap (assume this is a max heap),,2000,https://ntrs.nasa.gov/api/citations/20000115620/downloads/20000115620.pdf,yes,"uses shadow merge, with tradeoff between insert and delete",Shadow_heap,Kuszmaul,,,O(n)?,6.0,,words,Word RAM,"n: number of elements
f: threshold function, between lg n and (lg n)(lg lg n)",n,O(n(lg n)(lg lg n)/f(n)),6.01,"derivable from ""insert"" runtime",,O((lg n)(lg lg n)/f(n)),1.5,amortized,https://ntrs.nasa.gov/api/citations/20000115620/downloads/20000115620.pdf,O(f(n)),3.01,amortized,https://ntrs.nasa.gov/api/citations/20000115620/downloads/20000115620.pdf,,,,,,,,,O(n*f(n)),7.01,amortized,https://ntrs.nasa.gov/api/citations/20000115620/downloads/20000115620.pdf,O(f(n)),3.01,"only max, amortized",https://ntrs.nasa.gov/api/citations/20000115620/downloads/20000115620.pdf,O(f(n)),3.01,amortized,https://ntrs.nasa.gov/api/citations/20000115620/downloads/20000115620.pdf,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,100,,Priority Queue,Thick Heap,1.0,Heap (assume this is a max heap),,2008,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,yes,similar to a thin heap,,"Kaplan, Tarjan",,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n)?,6.0,"Derivable from ""insert"" runtime",,O(1)?,1.0,amortized,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(lg n),3.0,non-amortized (see section 4),https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,,,,,,,,,O(1)?,1.0,,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(1),1.0,only max,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(1)?,1.0,amortized,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,93,,Priority Queue,One-Pass Binomial Heap,1.0,Heap (assume this is a max heap),,2009,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,yes,,,"Haeupler, Sen, Tarjan",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(lg n),3.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,,,,,,,,,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(1),1.0,only max,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(lg n)?,3.0,amortized,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,94,,Priority Queue,Rank-Pairing Heap,1.0,Heap (assume this is a max heap),,2009,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,yes,,Rank-pairing_heap,"Haeupler, Sen, Tarjan",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(lg n),3.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,,,,,,,,,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(1),1.0,only max,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,91,,Priority Queue,Pairing Heap (lazy),1.0,Heap (assume this is a max heap),,2010,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,yes,variant of original pairing heap,,Elmasry,,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(1),1.0,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(lg n),3.0,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,,,,,,,,,O(lg lg n),2.0,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(1),1.0,only max,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(lg lg n),2.0,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,95,,Priority Queue,Strict Fibonacci Heap,1.0,Heap (assume this is a max heap),,2010,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,yes,pointer-based version of Fibonacci heap,,"Brodal, Lagogiannis, Tarjan",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,O(lg n),3.0,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,,,,,,,,,O(1),1.0,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,O(1),1.0,only max,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,O(1),1.0,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,96,,Priority Queue,Quake Heap,1.0,Heap (assume this is a max heap),,2010,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,yes,author notes its simplicity,,Chan,,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,amortized,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,O(lg n),3.0,amortized and for max only,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,,,,,,,,,O(1),1.0,amortized,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,O(1),1.0,only max,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,O(1),1.0,amortized,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,97,,Priority Queue,Violation Heap,1.0,Heap (assume this is a max heap),,2010,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,yes,author notes its practicality,,Elmasry,,,O(n)?,6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"Derivable from ""insert"" runtime",,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,O(lg n),3.0,amortized and for max only,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,,,,,,,,,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,O(1),1.0,only max,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,O(1),1.0,amortized,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,105,,Priority Queue,Weak Heap with Bulk Insertions,1.0,Heap (assume this is a max heap),,2010,https://www.sciencedirect.com/science/article/pii/S1570866712000792,yes,,,"Edelkamp, Elmasry, Katajainen",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"(essentially n-1 ""Union""s)",https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(1),1.0,amortized; constant of 5,https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(lg n),3.0,,https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,O(1),1.0,,https://link.springer.com/article/10.1007/BF01990520,O(1),1.0,only max; also kept track of in the root,https://link.springer.com/article/10.1007/BF01990520,O(lg n)?,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,106,,Priority Queue,Run-Relaxed Weak Heap,1.0,Heap (assume this is a max heap),,2010,https://www.sciencedirect.com/science/article/pii/S1570866712000792,yes,,,"Edelkamp, Elmasry, Katajainen",,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,"derivable from ""insert"" runtime",,O(1),1.0,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(lg n),3.0,"for max, constant of 2 (on # comparisons)",https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,O(1),1.0,constant of 1? (on # comparisons),https://link.springer.com/article/10.1007/BF01990520,O(1)?,1.0,only max; also kept track of in the root,,O(1),1.0,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,107,,Priority Queue,Rank-Relaxed Weak Heap,1.0,Heap (assume this is a max heap),,2010,https://www.sciencedirect.com/science/article/pii/S1570866712000792,yes,,,"Edelkamp, Elmasry, Katajainen",,,4n + O(lg n),6.0,https://www.sciencedirect.com/science/article/pii/S1570866712000792,words,Word RAM,n: number of elements,n,O(n),6.0,"derivable from ""insert"" runtime",,O(1),1.0,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(lg n),3.0,"for max, constant of 1.5 (on # comparisons)",https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,O(1),1.0,constant of 1? (on # comparisons),https://link.springer.com/article/10.1007/BF01990520,O(1)?,1.0,only max; also kept track of in the root,,O(1),1.0,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Priority Queue,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,110,,Priority Queue,B-heap,1.0,Heap (assume this is a max heap),,2010,https://queue.acm.org/detail.cfm?id=1814327,yes?,binary heap more optimized for caches,B-heap,Kamp,,,O(n),6.0,,words,Word RAM,n: number of elements,n,O(n),6.0,,,O(lg n),3.0,,,O(lg n),3.0,,,,,,,,,,,O(n),6.0,,,O(1),1.0,only max; also kept track of in the root,,O(lg n),3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
